uid,gsdb,manufacturer,engine,model,combustor,engine_type,thrust,einox,eico,eihc,smoke_number,fuel_flow
6AL023,6,Rolls-Royce Corporation,AE3007 Type-1,AE3007C1,Type 1,MTF,31.46,17.9,0.87,0.24,1.0,0.3222
6AL023,6,Rolls-Royce Corporation,AE3007 Type-1,AE3007C1,Type 1,MTF,26.741,15.35,1.07,0.277,0.01,0.2689
6AL023,6,Rolls-Royce Corporation,AE3007 Type-1,AE3007C1,Type 1,MTF,9.438,7.05,3.96,0.661,0.01,0.0991
6AL023,6,Rolls-Royce Corporation,AE3007 Type-1,AE3007C1,Type 1,MTF,2.2022000000000004,3.37,26.04,4.837,0.01,0.0418
6AL024,6,Rolls-Royce Corporation,AE3007 Type-2,AE3007C1,Type 2,MTF,31.46,20.2,0.0,0.0,0.01,0.3222
6AL024,6,Rolls-Royce Corporation,AE3007 Type-2,AE3007C1,Type 2,MTF,26.741,17.6,0.0,0.01,0.01,0.2689
6AL024,6,Rolls-Royce Corporation,AE3007 Type-2,AE3007C1,Type 2,MTF,9.438,6.71,1.62,0.21,0.01,0.0991
6AL024,6,Rolls-Royce Corporation,AE3007 Type-2,AE3007C1,Type 2,MTF,2.2022000000000004,3.14,36.04,5.88,0.01,0.0418
13AL027,13,Rolls-Royce Corporation,AE3007 Type-2,AE3007C2,Type 2,MTF,32.73,21.25,0.0,0.0,0.01,0.3263
13AL027,13,Rolls-Royce Corporation,AE3007 Type-2,AE3007C2,Type 2,MTF,27.820499999999996,18.11,0.0,0.01,0.01,0.2714
13AL027,13,Rolls-Royce Corporation,AE3007 Type-2,AE3007C2,Type 2,MTF,9.818999999999999,6.56,1.97,0.22,0.01,0.0985
13AL027,13,Rolls-Royce Corporation,AE3007 Type-2,AE3007C2,Type 2,MTF,2.2911,3.14,23.09,2.57,0.01,0.0472
01P06AL028,6,Rolls-Royce Corporation,AE3007 Type-3,AE3007A1,Type 3 (reduced emissions),MTF,34.91,16.17,0.75,0.03,0.01,0.3826
01P06AL028,6,Rolls-Royce Corporation,AE3007 Type-3,AE3007A1,Type 3 (reduced emissions),MTF,29.673499999999997,14.07,0.56,0.03,0.01,0.318
01P06AL028,6,Rolls-Royce Corporation,AE3007 Type-3,AE3007A1,Type 3 (reduced emissions),MTF,10.472999999999999,7.13,6.72,0.03,0.01,0.113
01P06AL028,6,Rolls-Royce Corporation,AE3007 Type-3,AE3007A1,Type 3 (reduced emissions),MTF,2.4437,4.17,39.91,3.85,0.01,0.0461
01P06AL029,6,Rolls-Royce Corporation,AE3007 Type-3,AE3007A1/1,Type 3 (reduced emissions),MTF,34.74,16.1,0.74,0.03,0.01,0.3805
01P06AL029,6,Rolls-Royce Corporation,AE3007 Type-3,AE3007A1/1,Type 3 (reduced emissions),MTF,29.529,14.01,0.55,0.03,0.01,0.3163
01P06AL029,6,Rolls-Royce Corporation,AE3007 Type-3,AE3007A1/1,Type 3 (reduced emissions),MTF,10.422,7.12,6.8,0.03,0.01,0.1125
01P06AL029,6,Rolls-Royce Corporation,AE3007 Type-3,AE3007A1/1,Type 3 (reduced emissions),MTF,2.4318000000000004,4.17,40.07,3.88,0.01,0.0459
01P06AL030,6,Rolls-Royce Corporation,AE3007 Type-3,AE3007A1/3,Type 3 (reduced emissions),MTF,33.05,15.42,0.5,0.03,0.01,0.3589
01P06AL030,6,Rolls-Royce Corporation,AE3007 Type-3,AE3007A1/3,Type 3 (reduced emissions),MTF,28.092499999999998,13.49,0.5,0.03,0.01,0.2999
01P06AL030,6,Rolls-Royce Corporation,AE3007 Type-3,AE3007A1/3,Type 3 (reduced emissions),MTF,9.915,6.93,7.62,0.03,0.01,0.1077
01P06AL030,6,Rolls-Royce Corporation,AE3007 Type-3,AE3007A1/3,Type 3 (reduced emissions),MTF,2.3135,4.27,38.47,3.81,0.01,0.0449
01P06AL031,6,Rolls-Royce Corporation,AE3007 Type-3,AE3007A1P,Type 3 (reduced emissions),MTF,34.74,16.1,0.74,0.03,0.01,0.3806
01P06AL031,6,Rolls-Royce Corporation,AE3007 Type-3,AE3007A1P,Type 3 (reduced emissions),MTF,29.529,14.01,0.55,0.03,0.01,0.3163
01P06AL031,6,Rolls-Royce Corporation,AE3007 Type-3,AE3007A1P,Type 3 (reduced emissions),MTF,10.422,7.12,6.79,0.03,0.01,0.1126
01P06AL031,6,Rolls-Royce Corporation,AE3007 Type-3,AE3007A1P,Type 3 (reduced emissions),MTF,2.4318000000000004,4.17,39.97,3.86,0.01,0.046
01P06AL032,6,Rolls-Royce Corporation,AE3007 Type-3,AE3007A1E,Type 3 (reduced emissions),MTF,37.16,17.17,0.77,0.03,0.01,0.4122
01P06AL032,6,Rolls-Royce Corporation,AE3007 Type-3,AE3007A1E,Type 3 (reduced emissions),MTF,31.585999999999995,14.91,0.64,0.03,0.01,0.3425
01P06AL032,6,Rolls-Royce Corporation,AE3007 Type-3,AE3007A1E,Type 3 (reduced emissions),MTF,11.147999999999998,7.42,5.63,0.03,0.01,0.12
01P06AL032,6,Rolls-Royce Corporation,AE3007 Type-3,AE3007A1E,Type 3 (reduced emissions),MTF,2.6012,4.26,37.97,3.52,0.01,0.0475
01P10AL033,10,Rolls-Royce Corporation,AE3007 Type-3,AE3007A2,Type 3 (reduced emissions),MTF,42.23,18.61,0.71,0.0,0.01,0.466
01P10AL033,10,Rolls-Royce Corporation,AE3007 Type-3,AE3007A2,Type 3 (reduced emissions),MTF,35.8955,15.99,0.74,0.0,0.01,0.388
01P10AL033,10,Rolls-Royce Corporation,AE3007 Type-3,AE3007A2,Type 3 (reduced emissions),MTF,12.668999999999999,7.9,4.08,0.0,0.01,0.138
01P10AL033,10,Rolls-Royce Corporation,AE3007 Type-3,AE3007A2,Type 3 (reduced emissions),MTF,2.9561,4.39,34.17,1.71,0.01,0.055
01P06AL034,6,Rolls-Royce Corporation,AE3007 Type-3,AE3007A3,Type 3 (reduced emissions),MTF,33.0,15.4,0.5,0.03,0.01,0.3583
01P06AL034,6,Rolls-Royce Corporation,AE3007 Type-3,AE3007A3,Type 3 (reduced emissions),MTF,28.05,13.48,0.5,0.03,0.01,0.2995
